 conc | Success% | TTFT mean  TTFT p90 | TPOT mean |  E2E mean   E2E p90 |  out_t/s |   in_t/s |  kv_mean |  prefix% |  qsize | prompt_p50 |  gen_p50
--- epp prefix-cache filter + token-load 40k ---
 16.9 |   100.0% |     0.7s      1.3s |    24.2ms |     24.1s      26.1s |   6911.0 |  50954.5 |    21.5% |    0.00% |    0.0 |       7200 |      998
 20.0 |    99.7% |     1.5s      2.4s |    33.3ms |     33.8s      38.8s |  10521.5 |  74683.6 |    51.5% |   43.30% |    0.0 |       7200 |      999
 22.3 |    99.5% |     1.9s      3.2s |    30.7ms |     32.0s      37.3s |  11205.4 |  78985.4 |    55.3% |   69.67% |    0.0 |       7200 |      998
 26.9 |   100.0% |     2.0s      3.6s |    32.5ms |     33.5s      38.2s |  11596.9 |  82351.0 |    51.0% |   86.41% |    0.0 |       7200 |      998
 29.6 |    99.9% |     2.5s      6.2s |    33.2ms |     34.4s      39.0s |  11942.3 |  85113.1 |    56.6% |   89.63% |    0.0 |       7200 |      998
 37.0 |   100.0% |     2.2s      3.7s |    34.1ms |     35.4s      40.1s |  11804.7 |  83543.9 |    56.7% |   94.12% |    0.0 |       7200 |      999
 39.4 |    99.3% |    10.1s     26.4s |    45.8ms |     53.9s      66.3s |  14394.1 | 102913.8 |    54.5% |   89.21% |    0.0 |       7200 |      999
 42.6 |    98.6% |    14.3s     33.7s |    45.9ms |     58.4s      73.8s |  12846.2 |  91513.2 |    71.0% |   94.56% |    0.0 |       7200 |      998
 48.7 |   100.0% |    15.1s     35.4s |    50.8ms |     64.3s      82.7s |  13012.6 |  92447.1 |    68.3% |   94.68% |    0.0 |       7200 |      999
 52.0 |    98.9% |    14.6s     34.5s |    49.4ms |     62.0s      79.6s |  12360.4 |  88126.6 |    65.4% |   94.94% |    0.0 |       7200 |      998
 50.9 |    98.9% |    15.3s     34.5s |    49.6ms |     63.0s      80.0s |  13339.0 |  94831.6 |    70.0% |   94.79% |    2.0 |       7200 |      998
 54.4 |    98.9% |    15.3s     36.8s |    50.2ms |     63.7s      81.0s |  12784.7 |  90958.8 |    67.6% |   57.70% |  248.0 |       7200 |      998
 56.6 |   100.0% |    15.3s     37.2s |    49.9ms |     63.5s      82.2s |  13159.1 |  93267.7 |    67.4% |   45.22% |  396.0 |       7200 |      999
