 conc | Success% |  vTTFT p50 |  vTTFT p90 |  vTTFT p95 |  vTTFT p99 |   TTFT p50 |   TTFT p90 |   TTFT p95 |   TTFT p99 |  vTPOT p50 |  vTPOT p90 |  vTPOT p95 |  vTPOT p99 |   TPOT p50 |   TPOT p90 |   TPOT p95 |   TPOT p99 |   vE2E p50 |   vE2E p90 |   vE2E p95 |   vE2E p99 |    E2E p50 |    E2E p90 |    E2E p95 |    E2E p99 |  out_t/s |   in_t/s |  ach_qps |  kv_mean |  prefix% |   q_size |   q_wait |  run_tot |  run_max
--- k8 ---
   40 |   100.0% |       8.7s |      20.1s |      30.5s |      38.8s |       9.0s |      20.0s |      25.7s |      33.7s |     40.0ms |     71.5ms |     82.0ms |     97.7ms |     47.6ms |    892.3ms |   1656.0ms |   3019.2ms |      39.5s |      96.3s |     113.1s |     199.5s |      40.4s |      82.0s |     104.0s |     145.8s |    415.4 |  41725.2 |     0.65 |    45.8% |     6.1% |     14.0 |      2.1s |     24.6 |      5.0
   50 |   100.0% |      10.3s |      32.1s |      37.7s |      66.7s |      10.7s |      25.9s |      30.6s |      47.5s |     47.7ms |     79.9ms |     94.3ms |    137.6ms |     66.4ms |   1361.8ms |   2975.3ms |   4618.3ms |      45.8s |     103.6s |     114.3s |     188.7s |      46.6s |      88.8s |     102.2s |     142.7s |    422.1 |  44570.4 |     0.76 |    63.9% |     4.0% |     32.0 |      4.4s |     30.6 |      7.0
   60 |   100.0% |      20.0s |      39.1s |      55.2s |      75.0s |      20.4s |      35.8s |      46.2s |      65.1s |     52.3ms |     81.1ms |     94.7ms |    141.2ms |     62.3ms |   1226.5ms |   2309.0ms |   4338.8ms |      57.9s |     114.1s |     137.4s |     219.5s |      58.5s |     105.5s |     122.5s |     157.6s |    786.4 |  46051.2 |     0.73 |    66.3% |     6.4% |     33.0 |     12.3s |     32.2 |      6.0
   70 |   100.0% |      51.0s |      76.2s |      79.4s |     140.2s |      47.7s |      70.9s |      77.9s |      92.0s |     49.9ms |     75.2ms |     92.6ms |    135.5ms |     63.7ms |    492.0ms |   2248.7ms |   3967.7ms |      88.1s |     174.3s |     210.6s |     239.7s |      85.5s |     138.2s |     158.5s |     209.2s |    943.0 |  45271.5 |     0.60 |    71.5% |     3.7% |     47.0 |     35.8s |     30.7 |      6.0
   80 |   100.0% |      47.5s |      75.1s |      78.6s |     132.6s |      44.1s |      65.9s |      73.1s |      89.3s |     53.9ms |     82.6ms |     96.5ms |    144.0ms |     62.9ms |    927.9ms |   1988.9ms |   4400.2ms |      88.3s |     167.5s |     208.0s |     250.1s |      83.0s |     133.7s |     154.0s |     236.0s |    916.8 |  45659.4 |     0.74 |    66.8% |     4.8% |     60.0 |     34.6s |     34.7 |      7.0
   90 |   100.0% |      57.4s |      79.6s |     116.8s |     151.4s |      56.7s |      78.1s |      89.6s |     110.5s |     52.9ms |     76.9ms |     92.5ms |    133.2ms |     61.0ms |    719.8ms |   1996.3ms |   3688.7ms |      95.9s |     191.2s |     217.1s |     237.7s |      92.4s |     147.6s |     164.7s |     221.7s |    778.1 |  47169.8 |     0.73 |    73.1% |     4.2% |     67.0 |     45.7s |     36.0 |      7.0
  100 |    99.8% |      92.7s |     146.7s |     153.5s |     158.9s |      84.8s |     115.9s |     122.1s |     139.8s |     53.1ms |     80.8ms |     94.3ms |    136.9ms |     71.2ms |   2105.4ms |   3280.6ms |   5088.7ms |     126.4s |     219.2s |     230.8s |     242.8s |     122.3s |     178.0s |     192.9s |     242.1s |    622.6 |  47765.5 |     0.70 |    75.8% |     3.6% |     77.0 |     71.7s |     33.4 |      7.0
--- epp default ---
   10 |   100.0% |       6.2s |      19.0s |      25.0s |      37.0s |       5.8s |      16.5s |      24.3s |      28.7s |     18.3ms |     26.3ms |     63.1ms |     92.6ms |     20.8ms |    167.8ms |    296.4ms |    399.4ms |      19.8s |      40.5s |      52.6s |      58.5s |      20.8s |      42.9s |      55.6s |      60.3s |    185.4 |  23907.8 |     0.42 |    13.4% |    44.3% |      5.0 |      1.2s |      6.4 |      3.0
   20 |   100.0% |       9.3s |      49.2s |      67.7s |     112.0s |       9.5s |      45.1s |      61.5s |      84.3s |     41.2ms |     71.2ms |     79.4ms |     99.2ms |     49.0ms |     88.4ms |     99.7ms |    119.0ms |      42.2s |     103.3s |     114.5s |     192.4s |      42.2s |      95.4s |     106.3s |     159.8s |    208.7 |  19601.5 |     0.33 |     0.0% |    23.1% |     15.0 |      9.9s |     11.2 |      6.0
   30 |   100.0% |       7.0s |      27.6s |      36.9s |      68.1s |       6.8s |      23.2s |      33.0s |      64.0s |     28.1ms |     65.5ms |     76.5ms |    137.7ms |     35.4ms |     68.7ms |     78.0ms |    127.5ms |      33.4s |      83.0s |     103.9s |     135.6s |      33.2s |      69.2s |      81.4s |     116.7s |    810.0 |  37653.9 |     0.60 |    51.2% |     4.9% |     23.0 |      4.1s |     17.8 |      5.0
   40 |   100.0% |      10.0s |      33.5s |      43.3s |      75.3s |      10.1s |      30.4s |      42.5s |      71.9s |     36.7ms |     72.1ms |     89.9ms |    133.1ms |     43.1ms |     80.5ms |    101.3ms |    271.3ms |      38.1s |      91.1s |     107.7s |     145.2s |      38.1s |      75.1s |      95.6s |     120.6s |    483.3 |  43942.2 |     0.75 |    47.4% |    13.9% |     27.0 |      5.8s |     22.2 |      5.0
   50 |   100.0% |      47.0s |      93.3s |     126.7s |     153.3s |      47.3s |      82.6s |      95.5s |     121.3s |     53.5ms |     88.1ms |    100.5ms |    143.0ms |     58.5ms |    110.4ms |    126.9ms |    185.3ms |      86.3s |     178.5s |     210.3s |     235.8s |      85.5s |     141.8s |     158.8s |     201.2s |    320.9 |  28435.0 |     0.45 |    64.0% |     4.2% |     48.0 |     38.8s |     20.5 |      9.0
   60 |   100.0% |      32.8s |      75.6s |     100.0s |     148.0s |      32.0s |      69.7s |      83.2s |     114.7s |     54.1ms |     84.7ms |     96.8ms |    139.3ms |     58.6ms |    109.1ms |    127.3ms |    175.0ms |      78.1s |     142.9s |     191.5s |     230.3s |      75.0s |     126.4s |     147.6s |     177.9s |    700.6 |  38617.9 |     0.58 |    70.7% |     5.7% |     45.0 |     27.3s |     27.6 |      7.0
   70 |    92.1% |      66.1s |     154.5s |     342.2s |     580.4s |      63.6s |     135.8s |     176.0s |     243.7s |     49.7ms |     77.5ms |     91.7ms |    125.9ms |     56.6ms |    101.9ms |    114.5ms |    306.0ms |     106.0s |     220.9s |     238.0s |     425.5s |     105.4s |     201.1s |     236.2s |     276.1s |    627.2 |  27351.6 |     0.41 |    38.9% |     4.6% |    115.0 |     61.3s |     19.2 |      7.0
   80 |    95.6% |      61.4s |     149.6s |     298.2s |     571.6s |      61.1s |     109.7s |     146.3s |     234.8s |     54.3ms |     85.8ms |     96.7ms |    138.1ms |     59.2ms |    112.7ms |    147.3ms |    477.8ms |     101.0s |     213.8s |     233.3s |     407.0s |     102.4s |     173.1s |     216.7s |     277.7s |    596.6 |  32070.5 |     0.51 |     0.0% |     4.9% |     96.0 |     55.7s |     25.1 |      9.0
   90 |    99.8% |      61.3s |     133.0s |     147.6s |     159.2s |      61.0s |     111.4s |     133.3s |     158.7s |     51.5ms |     76.5ms |     93.7ms |    136.4ms |     56.8ms |    104.6ms |    129.4ms |    340.8ms |     102.4s |     207.5s |     225.0s |     239.1s |     101.4s |     171.9s |     195.7s |     231.0s |    761.8 |  42467.4 |     0.65 |    77.2% |     4.1% |     88.0 |     54.2s |     31.8 |      8.0
  100 |    89.3% |      69.8s |     157.7s |     376.0s |     587.2s |      70.5s |     135.0s |     188.7s |     248.0s |     55.5ms |     84.7ms |     94.8ms |    129.4ms |     63.0ms |    120.4ms |    167.0ms |    557.1ms |     112.0s |     223.1s |     237.9s |     424.2s |     114.5s |     200.3s |     229.7s |     287.7s |    483.9 |  30235.1 |     0.50 |     0.0% |     4.0% |    168.0 |     66.2s |     22.6 |      7.0
--- latency-predictor 5s ---
   10 |   100.0% |       4.6s |      17.4s |      18.9s |      28.0s |       3.8s |      18.2s |      18.6s |      21.8s |     19.6ms |     50.5ms |     65.2ms |     85.2ms |     22.6ms |    195.1ms |    296.1ms |    441.9ms |      21.9s |      40.5s |      55.2s |     102.3s |      23.0s |      44.0s |      54.6s |      80.2s |    179.8 |  23511.4 |     0.34 |    28.2% |    43.3% |      0.0 |      0.3s |      6.5 |      3.0
   20 |   100.0% |       5.8s |      17.3s |      19.6s |      35.2s |       6.7s |      15.6s |      18.6s |      27.6s |     21.4ms |     46.4ms |     58.7ms |    120.3ms |     25.3ms |     50.1ms |     92.0ms |    230.8ms |      24.2s |      47.6s |      55.1s |     102.2s |      25.4s |      46.9s |      52.7s |      67.7s |    315.2 |  29567.6 |     0.52 |    19.5% |    26.7% |      7.0 |      0.7s |     10.7 |      4.0
   30 |   100.0% |       7.0s |      25.3s |      34.7s |      62.0s |       6.8s |      21.2s |      28.9s |      46.7s |     30.8ms |     58.9ms |     70.1ms |     95.1ms |     33.4ms |     69.3ms |     90.1ms |    141.7ms |      33.8s |      85.9s |     105.1s |     132.6s |      34.6s |      68.5s |      90.7s |     121.3s |    696.0 |  32334.7 |     0.53 |    39.7% |     3.6% |     13.0 |      2.5s |     16.5 |      5.0
   40 |   100.0% |      10.9s |      31.1s |      37.4s |      66.3s |      11.2s |      26.7s |      32.9s |      52.8s |     36.9ms |     72.3ms |     91.3ms |    140.2ms |     39.4ms |     86.8ms |    101.3ms |    155.7ms |      39.1s |      96.4s |     110.6s |     168.9s |      40.1s |      78.6s |      98.8s |     126.6s |    459.2 |  41626.5 |     0.69 |    43.9% |     6.9% |     19.0 |      4.7s |     23.1 |      5.0
   50 |   100.0% |      13.9s |      37.5s |      51.4s |      74.3s |      15.3s |      36.4s |      44.3s |      61.2s |     43.4ms |     74.7ms |     97.0ms |    145.5ms |     50.1ms |    103.9ms |    121.4ms |    188.9ms |      45.6s |     106.2s |     115.6s |     195.1s |      45.5s |      92.1s |     106.4s |     146.7s |    481.4 |  42328.8 |     0.71 |    56.3% |     5.3% |     28.0 |      8.4s |     26.5 |      6.0
   60 |   100.0% |      22.4s |      59.1s |      70.5s |      79.6s |      23.2s |      48.1s |      54.1s |      74.1s |     50.2ms |     80.9ms |     93.6ms |    138.7ms |     54.2ms |     97.0ms |    122.0ms |    175.9ms |      58.9s |     115.3s |     150.5s |     222.1s |      60.1s |     113.9s |     125.4s |     168.2s |    842.7 |  46165.0 |     0.69 |    67.0% |     5.6% |     35.0 |     14.9s |     31.7 |      6.0
   70 |    99.8% |      41.9s |      78.1s |     114.3s |     236.8s |      41.3s |      74.7s |      93.8s |     158.4s |     47.4ms |     85.2ms |     97.7ms |    140.1ms |     54.5ms |    111.5ms |    136.7ms |    383.2ms |      82.2s |     175.9s |     213.3s |     312.8s |      76.4s |     148.9s |     184.2s |     245.2s |    963.8 |  43877.8 |     0.59 |    68.9% |     4.6% |     57.0 |     32.2s |     29.0 |      7.0
   80 |    99.8% |      43.6s |      76.7s |      93.8s |     146.8s |      42.7s |      73.9s |      82.8s |      93.7s |     51.3ms |     82.7ms |     95.7ms |    137.4ms |     61.1ms |    115.5ms |    139.1ms |    335.0ms |      85.3s |     168.0s |     204.8s |     234.2s |      82.4s |     137.5s |     163.0s |     205.5s |    971.6 |  46032.5 |     0.74 |    74.0% |     4.1% |     54.0 |     33.7s |     34.8 |      7.0
   90 |   100.0% |      55.4s |      95.5s |     127.8s |     153.6s |      55.8s |      83.7s |      91.4s |     104.9s |     52.7ms |     76.2ms |     90.5ms |    122.6ms |     58.7ms |    104.0ms |    128.7ms |    239.5ms |      93.4s |     187.1s |     215.7s |     238.5s |      94.3s |     147.6s |     169.4s |     231.0s |    850.5 |  47617.6 |     0.76 |    71.4% |     4.0% |     66.0 |     44.8s |     36.5 |      7.0
  100 |    99.7% |      79.6s |     146.3s |     154.7s |     378.2s |      80.1s |     121.5s |     138.3s |     172.9s |     55.2ms |     87.9ms |     99.0ms |    140.5ms |     64.0ms |    127.1ms |    184.0ms |    624.8ms |     117.1s |     218.1s |     231.0s |     321.6s |     118.7s |     183.2s |     201.1s |     262.9s |    690.7 |  47309.5 |     0.68 |    74.6% |     3.8% |     86.0 |     67.7s |     33.5 |      7.0
